quarter,language,push_events,unique_actors
2022-07-01,R,2530,230
2022-07-01,Ruby,70408,2636
2022-07-01,Rust,27369,664
2022-07-01,Scala,24262,658
2022-07-01,Swift,11349,588
2022-07-01,TypeScript,144967,2889
2022-10-01,C,62005,2633
2022-10-01,C#,2624734,2142
2022-10-01,C++,141345,4562
2022-10-01,Dart,10671,189
2022-10-01,Go,103187,2907
2022-10-01,Haskell,3384,256
2022-10-01,Java,189861,5982
2022-10-01,JavaScript,171439,7753
2022-10-01,Julia,1646,57
2022-10-01,Kotlin,20101,565
2022-10-01,Lua,7823,371
2022-10-01,Objective-C,4034,333
2022-10-01,PHP,101968,3623
2022-10-01,Perl,10493,440
2022-10-01,Python,499774,8871
2022-10-01,R,2624,226
2022-10-01,Ruby,90317,2598
2022-10-01,Rust,19712,625
2022-10-01,Scala,19676,642
2022-10-01,Swift,11040,515
2022-10-01,TypeScript,144215,2835
2023-01-01,C,69095,2692
2023-01-01,C#,2517390,2040
2023-01-01,C++,147884,4570
2023-01-01,Dart,12269,177
2023-01-01,Go,125604,3224
2023-01-01,Haskell,4776,269
2023-01-01,Java,184855,5820
2023-01-01,JavaScript,181357,7530
2023-01-01,Julia,2062,69
2023-01-01,Kotlin,23400,532
2023-01-01,Lua,7632,370
2023-01-01,Objective-C,4216,353
2023-01-01,PHP,115261,3719
2023-01-01,Perl,10813,440
2023-01-01,Python,312442,8745
2023-01-01,R,2680,237
2023-01-01,Ruby,81844,2796
2023-01-01,Rust,20856,645
2023-01-01,Scala,24916,619
2023-01-01,Swift,10840,539
2023-01-01,TypeScript,151744,2733
2023-04-01,C,60572,2452
2023-04-01,C#,118289,1810
2023-04-01,C++,133552,4347
2023-04-01,Dart,11799,168
2023-04-01,Go,119252,2950
2023-04-01,Haskell,3639,270
2023-04-01,Java,165865,5657
2023-04-01,JavaScript,159690,6871
2023-04-01,Julia,1326,65
2023-04-01,Kotlin,22906,517
2023-04-01,Lua,7170,324
2023-04-01,Objective-C,3436,309
2023-04-01,PHP,98671,3387
2023-04-01,Perl,8984,402
2023-04-01,Python,274985,8339
2023-04-01,R,2406,216
2023-04-01,Ruby,79473,2398
2023-04-01,Rust,19857,579
2023-04-01,Scala,17595,570
2023-04-01,Swift,9300,468
2023-04-01,TypeScript,137951,2511
2023-07-01,C,64248,2370
2023-07-01,C#,45295,1784
2023-07-01,C++,132843,4082
2023-07-01,Dart,11121,175
2023-07-01,Go,120549,2901
2023-07-01,Haskell,3340,253
2023-07-01,Java,161406,5424
2023-07-01,JavaScript,168914,6395
2023-07-01,Julia,1573,64
2023-07-01,Kotlin,21233,492
2023-07-01,Lua,6808,316
2023-07-01,Objective-C,3336,287
2023-07-01,PHP,94747,3218
2023-07-01,Perl,11481,400
2023-07-01,Python,265683,7840
2023-07-01,R,2426,228
2023-07-01,Ruby,79174,2282
2023-07-01,Rust,21416,578
2023-07-01,Scala,21062,551
2023-07-01,Swift,9975,498
2023-07-01,TypeScript,131089,2429
2023-10-01,C,60850,2317
2023-10-01,C#,45141,1754
2023-10-01,C++,127937,4000
